Time (ms),GROOV-EPIC:M7_CA.Value
18.74,864.367
18.76,864.367
18.78,864.367
18.80,864.367
18.82,864.367
18.84,864.367
18.86,864.367
18.88,864.539
18.90,864.539
18.92,864.539
18.94,864.539
18.96,864.539
18.98,864.539
19.00,864.539
19.02,864.539
19.04,864.539
19.06,864.539
19.08,864.539
19.10,864.781
19.12,864.781
19.14,864.781
19.16,864.781
19.18,864.781
19.20,864.781
19.22,864.781
19.24,864.781
19.26,864.781
19.28,864.781
19.30,864.781
19.32,864.781
19.34,864.781
19.36,865.148
19.38,865.148
19.40,865.148
19.42,865.148
19.44,865.148
19.46,865.148
19.48,865.148
19.50,865.148
19.52,865.148
19.54,864.984
19.56,864.984
19.58,864.984
19.60,864.984
19.62,864.984
19.64,864.984
19.66,864.984
19.68,864.984
19.70,864.984
19.72,864.984
19.74,864.984
19.76,864.984
19.78,864.984
19.80,864.984
19.82,864.984
19.84,864.672
19.86,864.672
19.88,864.672
19.90,864.672
19.92,864.672
19.94,864.672
19.96,864.672
19.98,864.672
20.00,864.672
20.02,864.672
20.04,864.672
20.06,864.289
20.08,864.289
20.10,864.289
20.12,864.289
20.14,864.289
20.16,864.289
20.18,864.289
20.20,864.289
20.22,864.289
20.24,864.289
20.26,864.289
20.28,864.289
20.30,864.289
20.32,864.289
20.34,864.289
20.36,863.859
20.38,863.859
20.40,863.859
20.42,863.859
20.44,863.859
20.46,863.859
20.48,863.859
20.50,863.859
20.52,863.859
20.54,863.461
20.56,863.461
20.58,863.461
20.60,863.461
20.62,863.461
20.64,863.461
20.66,863.461
20.68,863.461
20.70,863.461
20.72,863.461
20.74,863.461
20.76,863.461
20.78,863.461
20.80,863.375
20.82,863.375
20.84,863.375
20.86,863.375
20.88,863.375
20.90,863.375
20.92,863.375
20.94,863.375
20.96,863.375
20.98,863.375
21.00,863.375
21.02,863.453
21.04,863.453
21.06,863.453
21.08,863.453
21.10,863.453
21.12,863.453
21.14,863.453
21.16,863.453
21.18,863.453
21.20,863.453
21.22,863.453
21.24,863.453
21.26,863.453
21.28,864
21.30,864
21.32,864
21.34,864
21.36,864
21.38,864
21.40,864
21.42,864
21.44,864
21.46,864
21.48,864
21.50,864
21.52,864
21.54,864.227
21.56,864.227
21.58,864.227
21.60,864.227
21.62,864.227
21.64,864.227
21.66,864.227
21.68,864.227
21.70,864.227
21.72,864.227
21.74,864.227
21.76,864.672
21.78,864.672
21.80,864.672
21.82,864.672
21.84,864.672
21.86,864.672
21.88,864.672
21.90,864.672
21.92,864.672
21.94,864.672
21.96,864.672
21.98,864.672
22.00,864.672
22.02,865.016
22.04,865.016
22.06,865.016
22.08,865.016
22.10,865.016
22.12,865.016
22.14,865.016
22.16,865.016
22.18,865.016
22.20,865.016
22.22,865.016
22.24,864.328
22.26,864.328
22.28,864.328
22.30,864.328
22.32,864.328
22.34,864.328
22.36,864.328
22.38,864.328
22.40,864.328
22.42,864.328
22.44,864.328
22.46,864.031
22.48,864.031
22.50,864.031
22.52,864.031
22.54,864.031
22.56,864.031
22.58,864.031
22.60,864.031
22.62,864.031
22.64,864.031
22.66,864.031
22.68,864.031
22.70,864.031
22.72,863.484
22.74,863.484
22.76,863.484
22.78,863.484
22.80,863.484
22.82,863.484
22.84,863.484
22.86,863.484
22.88,863.484
22.90,863.484
22.92,863.484
22.94,863.484
22.96,863.227
22.98,863.227
23.00,863.227
23.02,863.227
23.04,863.227
23.06,863.227
23.08,863.227
23.10,863.227
23.12,863.227
23.14,863.227
23.16,863.227
23.18,863.227
23.20,863.727
23.22,863.727
23.24,863.727
23.26,863.727
23.28,863.727
23.30,863.727
23.32,863.727
23.34,863.727
23.36,863.727
23.38,863.727
23.40,863.727
23.42,863.727
23.44,863.688
23.46,863.688
23.48,863.688
23.50,863.688
23.52,863.688
23.54,863.688
23.56,863.688
23.58,863.688
23.60,863.688
23.62,863.688
23.64,863.938
23.66,863.938
23.68,863.938
23.70,863.938
23.72,863.938
23.74,863.938
23.76,863.938
23.78,863.938
23.80,863.938
23.82,863.938
23.84,863.938
23.86,863.938
23.88,863.938
23.90,863.938
23.92,864.344
23.94,864.344
23.96,864.344
23.98,864.344
24.00,864.344
24.02,864.344
24.04,864.344
24.06,864.344
24.08,864.344
24.10,864.344
24.12,864.484
24.14,864.484
24.16,864.484
24.18,864.484
24.20,864.484
24.22,864.484
24.24,864.484
24.26,864.484
24.28,864.484
24.30,864.484
24.32,864.484
24.34,864.484
24.36,864.484
24.38,864.828
24.40,864.828
24.42,864.828
24.44,864.828
24.46,864.828
24.48,864.828
24.50,864.828
24.52,864.828
24.54,864.828
24.56,864.828
24.58,864.828
24.60,864.898
24.62,864.898
24.64,864.898
24.66,864.898
24.68,864.898
24.70,864.898
24.72,864.898
24.74,864.898
24.76,864.898
24.78,864.898
24.80,864.898
24.82,864.898
24.84,864.898
24.86,864.453
24.88,864.453
24.90,864.453
24.92,864.453
24.94,864.453
24.96,864.453
24.98,864.453
25.00,864.453
25.02,864.453
25.04,864.453
25.06,864.453
25.08,864.195
25.10,864.195
25.12,864.195
25.14,864.195
25.16,864.195
25.18,864.195
25.20,864.195
25.22,864.195
25.24,864.195
25.26,864.195
25.28,864.195
25.30,864.195
25.32,864.195
25.34,863.836
25.36,863.836
25.38,863.836
25.40,863.836
25.42,863.836
25.44,863.836
25.46,863.836
25.48,863.836
25.50,863.836
25.52,863.836
25.54,863.836
25.56,863.586
25.58,863.586
25.60,863.586
25.62,863.586
25.64,863.586
25.66,863.586
25.68,863.586
25.70,863.586
25.72,863.586
25.74,863.586
25.76,863.586
25.78,863.586
25.80,863.586
25.82,863.641
25.84,863.641
25.86,863.641
25.88,863.641
25.90,863.641
25.92,863.641
25.94,863.641
25.96,863.641
25.98,863.641
26.00,863.641
26.02,863.641
26.04,863.641
26.06,863.641
26.08,863.836
26.10,863.836
26.12,863.836
26.14,863.836
26.16,863.836
26.18,863.836
26.20,863.836
26.22,863.836
26.24,863.836
26.26,863.836
26.28,863.586
26.30,863.586
26.32,863.586
26.34,863.586
26.36,863.586
26.38,863.586
26.40,863.586
26.42,863.586
26.44,863.586
26.46,863.586
26.48,863.586
26.50,863.586
26.52,863.586
26.54,863.641
26.56,863.641
26.58,863.641
26.60,863.641
26.62,863.641
26.64,863.641
26.66,863.641
26.68,863.641
26.70,863.641
26.72,863.641
26.74,863.641
26.76,863.641
26.78,863.641
26.80,863.836
26.82,863.836
26.84,863.836
26.86,863.836
26.88,863.836
26.90,863.836
26.92,863.836
26.94,863.836
26.96,863.836
26.98,863.836
27.00,863.586
27.02,863.586
27.04,863.586
27.06,863.586
27.08,863.586
27.10,863.586
27.12,863.586
27.14,863.586
27.16,863.586
27.18,863.586
27.20,863.586
27.22,863.586
27.24,863.586
27.26,863.641
27.28,863.641
27.30,863.641
27.32,863.641
27.34,863.641
27.36,863.641
27.38,863.641
27.40,863.641
27.42,863.641
27.44,863.641
27.46,863.641
27.48,863.641
27.50,863.641
27.52,863.836
27.54,863.836
27.56,863.836
27.58,863.836
27.60,863.836
27.62,863.836
27.64,863.836
27.66,863.836
27.68,863.836
27.70,863.836
27.72,863.586
27.74,863.586
27.76,863.586
27.78,863.586
27.80,863.586
27.82,863.586
27.84,863.586
27.86,863.586
27.88,863.586
27.90,863.586
27.92,863.586
27.94,863.586
27.96,863.586
27.98,863.641
28.00,863.641
28.02,863.641
28.04,863.641
28.06,863.641
28.08,863.641
28.10,863.641
28.12,863.641
28.14,863.641
28.16,863.641
28.18,863.641
28.20,863.641
28.22,863.641
28.24,863.836
28.26,863.836
28.28,863.836
28.30,863.836
28.32,863.836
28.34,863.836
28.36,863.836
28.38,863.836
28.40,863.836
28.42,863.836
28.44,863.586
28.46,863.586
28.48,863.586
28.50,863.586
28.52,863.586
28.54,863.586
28.56,863.586
28.58,863.586
28.60,863.586
